id_est;cod_param;altura;id_reg
142;0004;;V
142;0008;;V
142;0CH4;;V
142;0NOX;;V
142;NMHC;;V
142;PM10;;V
142;PM25;;V
142;THCM;;V
142;WDIR;10;V
142;WSPD;10;V
41;0001;;V
41;0002;;V
41;0003;;V
41;0004;;V
41;0008;;V
41;0CH4;;V
41;0NOX;;V
41;NMHC;;V
41;PM10;;V
41;PM25;;V
41;THCM;;V
41;WDIR;10;V
41;WSPD;10;V
6;0001;;V
6;0002;;V
6;0003;;V
6;0004;;V
6;0008;;V
6;0CH4;;V
6;0NOX;;V
6;NMHC;;V
6;PM10;;V
6;THCM;;V
6;WDIR;10;V
6;WSPD;10;V
155;PM10;;V
155;PM25;;V
297;PM10;;V
297;PM25;;V
5;PM10;;V
5;0CH4;;V
5;NMHC;;V
5;THCM;;V
5;WDIR;10;V
5;WSPD;10;V
204;0001;;V
204;0002;;V
204;0003;;V
204;0004;;V
204;0008;;V
204;0CH4;;V
204;0NOX;;V
204;NMHC;;V
204;PM10;;V
204;PM25;;V
204;THCM;;V
204;ARSE;;V
204;00Pb;;V
204;00Cu;;V
204;WDIR;3;V
204;WDIR;10;V
204;WSPD;10;V
208;0001;;V
208;0002;;V
208;0003;;V
208;0004;;V
208;0008;;V
208;0CH4;;V
208;0NOX;;V
208;NMHC;;V
208;PM10;;V
208;PM25;;V
208;THCM;;V
208;GLOB;30;V
208;GLOB;3;V
208;GLOB;4;V
208;PRES;3;V
208;PRES;2;V
208;PRES;30;V
208;RAIN;;V
208;RAIN;4;V
208;RHUM;3;V
208;RHUM;30;V
208;RHUM;4;V
208;TEMP;10;V
208;TEMP;4;V
208;WDIR;10;V
208;WSPD;10;V
129;GLOB;3;V
129;GLOB;4;V
129;PRES;3;V
129;RAIN;4;V
129;RHUM;3;V
129;RHUM;4;V
129;TEMP;10;V
129;TEMP;4;V
129;WDIR;10;V
129;WSPD;10;V
183;0001;;V
183;0002;;V
183;0003;;V
183;0004;;V
183;0008;;V
183;0NOX;;V
183;PM10;;V
183;PM25;;V
183;ARSE;;V
183;00Cu;;V
183;00Ni;;V
183;00Pb;;V
183;WDIR;10;V
183;WSPD;10;V
251;0001;;V
251;0002;;V
251;0003;;V
251;0004;;V
251;0008;;V
251;0CH4;;V
251;0NOX;;V
251;NMHC;;V
251;PM10;;V
251;THCM;;V
251;00Pb;;V
251;ARSE;;V
251;PM25;;V
251;WDIR;10;V
251;WSPD;10;V
203;0001;;V
203;0002;;V
203;0003;;V
203;0008;;V
203;0NOX;;V
203;PM10;;V
203;00Pb;;V
203;ARSE;;V
203;PM25;;V
203;00Cu;;V
203;00Ni;;V
203;WDIR;10;V
203;WSPD;10;V
174;PM25;;V
247;0001;;V
247;0002;;V
247;0003;;V
247;0004;;V
247;0008;;V
247;0NOX;;V
247;PM10;;V
247;PM25;;V
247;GLOB;;V
247;GLOB;3;V
247;GLOB;2;V
247;PRES;3;V
247;PRES;;V
247;PRES;2;V
247;RAIN;2;V
